test_index,Model_A,Model_B,Local_Spearman_rho,Local_Spearman_p_value,Local_Cosine_similarity
212,RF,LGBM,0.6324675324675325,0.002094285916756489,0.8187527855659961
212,RF,MLP,0.3038961038961039,0.18047767364208767,0.707893613742169
212,XGB,LGBM,0.5311688311688313,0.013221701602104063,0.6189576161377282
212,XGB,MLP,0.4051948051948052,0.0684236454174195,0.6951414837629551
212,LGBM,MLP,0.1883116883116883,0.4136637589062404,0.8608557890998346
220,RF,XGB,0.4831168831168831,0.026518455375827792,0.6322145036723966
220,RF,LGBM,0.43376623376623374,0.049467479381547524,0.7970636138579158
220,RF,MLP,0.287012987012987,0.20714101817766592,0.6400870272605373
220,XGB,LGBM,0.3194805194805195,0.15803468713885824,0.6894919463524951
220,XGB,MLP,0.47792207792207797,0.028433024289660953,0.6478609612152353
220,LGBM,MLP,0.00909090909090909,0.9688031519255759,0.801431814507689
233,RF,XGB,0.5662337662337662,0.007452803836674509,0.5434553107830439
233,RF,LGBM,0.28181818181818186,0.2158464834864693,0.5806706608750873
233,RF,MLP,0.3844155844155844,0.08532754860745444,0.3635066429934169
233,XGB,LGBM,0.12857142857142856,0.5786044448638965,0.18555678494058
233,XGB,MLP,0.3844155844155844,0.08532754860745444,0.20034980758696394
233,LGBM,MLP,0.14155844155844155,0.5404880300232261,0.5376837245873534
237,RF,XGB,0.8051948051948051,1.0678393833166898e-05,0.761599599913881
237,RF,LGBM,0.8233766233766234,4.541183409442103e-06,0.8774367548336405
237,RF,MLP,0.21818181818181817,0.342048012047813,0.5625863885972322
237,XGB,LGBM,0.7610389610389611,6.17101871334167e-05,0.9474048094049361
237,XGB,MLP,0.059740259740259746,0.7970010758753313,0.7534388971943108
237,LGBM,MLP,0.15324675324675324,0.5072039302125892,0.7148914604050525
239,RF,XGB,0.3844155844155844,0.08532754860745444,0.8106855152134904
239,RF,LGBM,0.11428571428571428,0.6218181517971056,0.6599662255951843
239,RF,MLP,0.30129870129870134,0.18441900148730597,0.42282133338904476
239,XGB,LGBM,-0.01818181818181818,0.9376501036584043,0.41216336545630566
239,XGB,MLP,0.0935064935064935,0.6868397848627376,0.22977810191893241
239,LGBM,MLP,0.02077922077922078,0.9287633909628463,0.536691447138286
240,RF,XGB,0.4701298701298702,0.03150796285030202,0.8659017945104884
240,RF,LGBM,0.36363636363636365,0.10514930870551215,0.47454445348529495
240,RF,MLP,-0.13636363636363635,0.5555953559520419,0.0990884325124923
240,XGB,LGBM,0.6272727272727273,0.002337286312784887,0.44786014690137016
240,XGB,MLP,0.15974025974025974,0.4891511154734236,0.4121350021818352
240,LGBM,MLP,-0.08961038961038961,0.6992893846688304,0.45947064840571505
247,RF,XGB,0.2662337662337662,0.2433987795806379,0.319792775668085
247,RF,LGBM,0.2324675324675325,0.31055989862791317,0.7389666366902455
247,RF,MLP,0.5909090909090908,0.0047914206153202195,0.26068324740184423
247,XGB,LGBM,-0.04025974025974026,0.8624424916554133,0.307546672850889
247,XGB,MLP,0.1948051948051948,0.3974429535072252,0.03975039116199486
247,LGBM,MLP,-0.05844155844155843,0.8013282220179796,0.06372268763623014
251,RF,XGB,0.5857142857142857,0.005273422501026666,0.8734323798325526
251,RF,LGBM,0.6337662337662338,0.002036972717580764,0.807709474973626
251,RF,MLP,0.3077922077922078,0.17467404944767495,0.31166195780310396
251,XGB,LGBM,0.6597402597402597,0.0011382402645393446,0.7479302757677835
251,XGB,MLP,0.26883116883116887,0.23865637920307153,0.25480020364417666
251,LGBM,MLP,0.36103896103896105,0.10784449874176319,0.6882338539353319
254,RF,XGB,0.24285714285714283,0.28880425437585355,-0.42096314553314457
254,RF,LGBM,0.212987012987013,0.35394640699014296,0.37187552258464
254,RF,MLP,0.24155844155844156,0.291470754429199,0.1954060809466065
254,XGB,LGBM,0.1077922077922078,0.6418756070398507,0.07745663471936957
254,XGB,MLP,-0.15974025974025974,0.4891511154734236,-0.5253875555183565
254,LGBM,MLP,0.08311688311688312,0.7202033241160488,0.07150336870721698
259,RF,XGB,0.8272727272727272,3.733856467014014e-06,0.8103090267317998
259,RF,LGBM,0.7662337662337663,5.1203042985103755e-05,0.8023061945900787
259,RF,MLP,0.348051948051948,0.12207717550592732,0.42153238272724225
259,XGB,LGBM,0.6363636363636362,0.0019262960071318917,0.49222209175184195
259,XGB,MLP,0.425974025974026,0.05417854233992367,0.30467875004687334
259,LGBM,MLP,0.41558441558441556,0.06098538032444867,0.5654946698661641
261,RF,XGB,0.6454545454545455,0.0015778975857754145,0.5318872003752438
261,RF,LGBM,0.5701298701298702,0.00696616651488971,0.5244820121915093
261,RF,MLP,0.3194805194805195,0.15803468713885824,0.48440834382888737
261,XGB,LGBM,0.26103896103896107,0.25306481196664155,0.23150909058167513
261,XGB,MLP,0.312987012987013,0.16713674816730895,0.37586310027200387
261,LGBM,MLP,0.16103896103896104,0.4855791442852288,0.2662477269195582
270,RF,XGB,0.6740259740259741,0.0008070969113009038,0.8999679853866157
270,RF,LGBM,0.7012987012987012,0.00039694276326804936,0.6475459159880997
270,RF,MLP,0.2350649350649351,0.3050302888415488,0.29134333093144216
270,XGB,LGBM,0.5441558441558442,0.010767227319457274,0.7499872150997773
270,XGB,MLP,0.24545454545454545,0.28351670883126684,0.5325621062512242
270,LGBM,MLP,0.1077922077922078,0.6418756070398507,0.7196442412981381
275,RF,XGB,0.36233766233766235,0.10649069901450199,0.41516535750416805
275,RF,LGBM,0.07922077922077922,0.7328457347746481,0.30778048629684535
275,RF,MLP,0.5272727272727272,0.014040563252064467,0.26747490244381505
275,XGB,LGBM,0.02727272727272727,0.9065844922540648,0.12361710740209322
275,XGB,MLP,0.12207792207792208,0.5980864852006569,0.11618250000996168
275,LGBM,MLP,-0.09220779220779221,0.6909811745118993,0.02621470696986035
289,RF,XGB,0.8480519480519481,1.203804085854572e-06,0.7650287575253709
289,RF,LGBM,0.8558441558441559,7.537531330491903e-07,0.8345600654439626
289,RF,MLP,0.01818181818181818,0.9376501036584043,0.49932832412125
289,XGB,LGBM,0.8714285714285716,2.7089078155074467e-07,0.9778265150391752
289,XGB,MLP,0.07922077922077922,0.7328457347746481,0.7548207184939901
289,LGBM,MLP,0.12987012987012986,0.5747411951907224,0.7272167743457693
297,RF,XGB,0.7766233766233767,3.474548938772688e-05,0.5503087994168878
297,RF,LGBM,0.7129870129870131,0.00028592281159081395,0.562259255700576
297,RF,MLP,0.2701298701298701,0.2363077950605595,0.22188285970553728
297,XGB,LGBM,0.8272727272727272,3.733856467014014e-06,0.7165207214808432
297,XGB,MLP,0.15974025974025974,0.4891511154734236,-0.22016555105348407
297,LGBM,MLP,0.15974025974025974,0.4891511154734236,0.019295185392519565
298,RF,XGB,0.5415584415584416,0.011225759601972744,0.8013883770164865
298,RF,LGBM,0.5103896103896104,0.018076642193560668,0.8697696545459348
298,RF,MLP,0.3311688311688311,0.14253086581850202,0.636505958466826
298,XGB,LGBM,0.6935064935064935,0.0004898974010404606,0.8730023229441523
298,XGB,MLP,0.4883116883116883,0.02470752493518718,0.6144162308442952
298,LGBM,MLP,0.24545454545454545,0.28351670883126684,0.7604700094347191
303,RF,XGB,0.5883116883116883,0.005027635105295531,0.712139894134137
303,RF,LGBM,0.2038961038961039,0.37533722290245836,0.7982341116818497
303,RF,MLP,0.7142857142857142,0.00027542157748998224,0.7579923552643065
303,XGB,LGBM,0.3571428571428571,0.11198091415054648,0.7617165962731351
303,XGB,MLP,0.4883116883116883,0.02470752493518718,0.629620819470469
303,LGBM,MLP,0.11948051948051949,0.6059550557298753,0.7792751628786985
305,RF,XGB,0.587012987012987,0.005149313814572183,0.8947653486334644
305,RF,LGBM,0.5311688311688313,0.013221701602104063,0.7181943341757323
305,RF,MLP,0.42987012987012985,0.05178188171189559,0.5584591621798971
305,XGB,LGBM,0.47792207792207797,0.028433024289660953,0.7585664428865598
305,XGB,MLP,0.07532467532467534,0.7455550758529895,0.6505125076609702
305,LGBM,MLP,0.08311688311688312,0.7202033241160488,0.7489413534240147
