Model,Repetition,Feature,Mean_Absolute_SHAP,Normalized_SHAP
XGB,3,loc,0.33753875899516667,0.42508113634060485
XGB,3,v(g),0.04235041839070618,0.05333421272156546
XGB,3,ev(g),0.08112761904951185,0.102168475693981
XGB,3,iv(g),0.1215051377316316,0.1530181072299411
XGB,3,n,0.007591957853437634,0.00956097036380779
XGB,3,v,0.003095453890855424,0.003898275449408795
XGB,3,l,0.01593911060888786,0.020072999231420592
XGB,3,d,0.019665376117724617,0.024765690469364655
XGB,3,i,0.028068008457000058,0.035347587830321256
XGB,3,e,0.007721567455446348,0.009724194868947676
XGB,3,b,0.0015610510856155695,0.001965917547764353
XGB,3,t,0.0010432674691643721,0.0013138441422839043
XGB,3,lOCode,0.0034777507545853343,0.0043797229303959686
XGB,3,lOComment,0.00223276545094753,0.0028118444172048687
XGB,3,lOBlank,0.04407672210635307,0.05550824200134572
XGB,3,locCodeAndComment,0.004743318929686211,0.005973522586441067
XGB,3,uniq_Op,0.008552554349298589,0.010770702399444103
XGB,3,uniq_Opnd,0.009300042062192612,0.01171205481581114
XGB,3,total_Op,0.02622506814795391,0.03302667166913913
XGB,3,total_Opnd,0.0011662676972870637,0.0014687450991286738
XGB,3,branchCount,0.02707503538598151,0.03409708219167776
LGBM,3,loc,0.11029853201108857,0.35143871262713117
LGBM,3,v(g),0.012014945496277957,0.03828262172222358
LGBM,3,ev(g),0.014168219992077227,0.04514349287743038
LGBM,3,iv(g),0.018788206774090706,0.05986392639019872
LGBM,3,n,0.007820834942905181,0.024919136400904793
LGBM,3,v,0.009361153624371628,0.029826977009297182
LGBM,3,l,0.007092865602634624,0.02259964399142298
LGBM,3,d,0.010336702354532698,0.03293531928350235
LGBM,3,i,0.013813076876463203,0.04401191807698576
LGBM,3,e,0.012877975181301671,0.04103245017355094
LGBM,3,b,0.0026442256361395603,0.008425164292912991
LGBM,3,t,0.000404683709762528,0.0012894235252905867
LGBM,3,lOCode,0.012841688572369076,0.04091683196090244
LGBM,3,lOComment,0.004948283206891644,0.015766468041203158
LGBM,3,lOBlank,0.008942734256608202,0.028493788241832414
LGBM,3,locCodeAndComment,0.007873839512643492,0.025088022218445086
LGBM,3,uniq_Op,0.010833244896893508,0.03451742802665718
LGBM,3,uniq_Opnd,0.008831397939909304,0.028139042887602553
LGBM,3,total_Op,0.019446056713381222,0.06196000084876769
LGBM,3,total_Opnd,0.014305341974769323,0.045580397813439366
LGBM,3,branchCount,0.006204545389135141,0.019769233590298772
MLP,3,loc,0.2753209403025902,0.24826388513777015
MLP,3,v(g),0.06913459229663217,0.062340417921404954
MLP,3,ev(g),0.017927311440870695,0.016165512087434504
MLP,3,iv(g),0.020897519902345178,0.018843824501682045
MLP,3,n,0.028303678599578934,0.025522145918503242
MLP,3,v,0.006891797983638347,0.0062145092963951706
MLP,3,l,0.021779708825316758,0.019639316661492778
MLP,3,d,0.029849066284225602,0.026915661247242064
MLP,3,i,0.06908876271464873,0.062299092223239955
MLP,3,e,0.022079145485671938,0.019909326303951334
MLP,3,b,0.00494332140537046,0.004457518473651771
MLP,3,t,0.0222227805758785,0.0200388457131819
MLP,3,lOCode,0.19573932707647082,0.17650312308554975
MLP,3,lOComment,0.04972762983969052,0.044840666929025205
MLP,3,lOBlank,0.057382013460291086,0.05174281906426303
MLP,3,locCodeAndComment,0.012366922062404879,0.011151567748658294
MLP,3,uniq_Op,0.04918123610793263,0.044347969822470024
MLP,3,uniq_Opnd,0.01736300528139408,0.015656662889822197
MLP,3,total_Op,0.015389494883054236,0.013877098435650425
MLP,3,total_Opnd,0.050798182574026754,0.04580601152206296
MLP,3,branchCount,0.07259862590785773,0.06546402501654819
RF,4,loc,0.03957963427871797,0.1688380909511498
RF,4,v(g),0.01134503847261666,0.048395460756288464
RF,4,ev(g),0.015864924693127808,0.06767630997822899
RF,4,iv(g),0.03277878636692462,0.13982715643390706
RF,4,n,0.005483614811776366,0.023391905286744844
RF,4,v,0.006487566207600677,0.027674543066696793
RF,4,l,0.007748673397133613,0.03305415139925786
RF,4,d,0.00818568089716747,0.03491833012100831
RF,4,i,0.01193266656823641,0.0509021541015336
RF,4,e,0.006861844050447635,0.02927113074677987
RF,4,b,0.005556128280713854,0.02370123193634034
RF,4,t,0.00706872166968096,0.030153625568381963
RF,4,lOCode,0.00734551237827572,0.031334354387225136
RF,4,lOComment,0.005797168431667495,0.024729456670379193
RF,4,lOBlank,0.010798553998587292,0.0460642771308962
RF,4,locCodeAndComment,0.0012475440048855346,0.0053217507438082425
RF,4,uniq_Op,0.00964354894628219,0.04113727738408492
RF,4,uniq_Opnd,0.00935267130476799,0.039896456780544445
RF,4,total_Op,0.010294379761604631,0.04391357975255594
RF,4,total_Opnd,0.0070007050491170935,0.02986348149357613
RF,4,branchCount,0.014050243424480838,0.05993527531061182
XGB,4,loc,0.34681361079604056,0.42238048144641877
XGB,4,v(g),0.03253114217504238,0.039619320194376785
XGB,4,ev(g),0.08617652965321516,0.10495344747502672
XGB,4,iv(g),0.17609604729339481,0.2144654388444336
XGB,4,n,0.006278317904119224,0.007646294310447587
XGB,4,v,0.0020748215507289084,0.002526902342444879
XGB,4,l,0.01755552552213582,0.021380681412891293
XGB,4,d,0.02663872662310799,0.03244301211351519
XGB,4,i,0.011326007912672745,0.013793820444475123
XGB,4,e,0.007801958967853959,0.009501920001073331
XGB,4,b,0.00169085958962872,0.0020592792938154965
XGB,4,t,0.0021147873130394146,0.002575576204717292
XGB,4,lOCode,0.0035504755716829093,0.004324085141552054
XGB,4,lOComment,0.0037750364580036453,0.0045975753747077765
XGB,4,lOBlank,0.023780398909487608,0.028961886234287148
XGB,4,locCodeAndComment,0.0005997855891958655,0.0007304722711074922
XGB,4,uniq_Op,0.006783480031105379,0.00826152570784044
