Model,Repetition_A,Repetition_B,test_position,Local_Spearman,Local_Cosine
RF,1,3,867,0.8883116883116883,0.9225177891654099
RF,1,3,869,0.5961038961038961,0.8752225255533284
RF,1,3,886,0.08051948051948052,0.35852144033764516
RF,1,3,889,0.5155844155844156,0.7350367339798125
RF,1,3,893,0.574025974025974,0.6919725233041109
RF,1,3,904,0.45324675324675323,0.7150565405319187
RF,1,3,914,0.6298701298701298,0.9168977893063986
RF,1,3,926,0.7805194805194805,0.9468890992603951
RF,1,3,936,0.5220779220779221,0.5179535162083786
RF,1,3,939,0.8142857142857143,0.9304484264082772
RF,1,3,941,0.5181818181818182,0.44941144882601436
RF,1,3,943,0.4116883116883117,0.5014509813301191
RF,1,3,946,0.8025974025974025,0.9215479544977225
RF,1,3,952,0.5337662337662338,0.8793042493882249
RF,1,3,965,0.6532467532467533,0.9227299811271381
RF,1,3,988,0.8259740259740259,0.8629153188678645
RF,1,3,994,0.7987012987012986,0.8923876192253997
RF,1,3,1004,0.7597402597402596,0.8441022361371088
RF,1,3,1009,0.7025974025974026,0.8076722978119927
RF,1,3,1018,0.8740259740259739,0.8501219905443619
RF,1,3,1033,0.6441558441558441,0.7791380800348524
RF,1,3,1034,0.7220779220779221,0.7137447585100429
RF,1,3,1043,0.9051948051948051,0.8651032571726468
RF,1,3,1061,0.5402597402597402,0.8466629973609994
RF,1,3,1073,0.8727272727272727,0.7283166656949733
RF,1,3,1074,0.4168831168831169,0.5099194753104411
RF,1,3,1079,0.6766233766233766,0.8423866009126629
RF,1,3,1084,0.8974025974025974,0.7769737725552469
RF,1,3,1106,0.6844155844155844,0.7141004656553647
RF,1,3,1108,0.6181818181818182,0.5177009324883391
RF,1,3,1110,0.33246753246753247,0.14932848379279795
RF,1,3,1111,0.6883116883116883,0.8503148160041859
RF,1,3,1113,0.8415584415584414,0.878210136784127
RF,1,3,1114,0.45194805194805193,0.7418772516769523
RF,1,3,1117,0.4636363636363636,0.7617375800172544
RF,1,3,1132,0.6428571428571428,0.875574684694317
RF,1,3,1137,0.7506493506493507,0.9372297522975304
RF,1,3,1138,0.6610389610389611,0.9344343983105213
RF,1,3,1140,0.4883116883116883,0.687779187372395
RF,1,3,1142,0.8324675324675326,0.9441174368121817
RF,1,3,1145,0.461038961038961,0.7388719858937585
RF,1,3,1146,0.5545454545454546,0.9304923898620692
RF,1,3,1151,0.8337662337662338,0.8988018262009327
RF,1,3,1168,0.5649350649350648,0.7809670559676036
RF,1,3,1169,0.6441558441558441,0.8644483574660002
RF,1,3,1177,0.7610389610389611,0.8155712383628276
RF,1,3,1178,0.31428571428571433,0.6565065457802421
RF,1,3,1182,0.8662337662337661,0.9274386305085347
RF,1,3,1190,0.34415584415584416,0.7096075650641106
RF,1,3,1197,0.46623376623376617,0.7253176677255437
RF,1,3,1204,0.9103896103896105,0.9385127043443011
RF,1,3,1208,0.8467532467532467,0.9481316629608088
RF,1,3,1211,0.7402597402597402,0.8563582304247823
RF,1,3,1220,0.6454545454545455,0.8162097955447808
RF,1,3,1226,0.4766233766233766,0.5833606620424255
RF,1,3,1235,0.8402597402597403,0.8100465431449716
RF,1,3,1240,0.6870129870129871,0.9118454437097288
RF,1,3,1249,0.5909090909090908,0.909149530157037
RF,1,3,1253,0.46753246753246747,0.18026901313666788
RF,1,3,1255,0.8753246753246753,0.9719239319521765
RF,1,3,1258,0.4974025974025974,0.4273207690191472
RF,1,3,1262,0.5376623376623377,0.5807397512734331
RF,1,3,1268,0.9064935064935065,0.96688579177732
